Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
2,2,2,7,yes,yes,hadoop,excellent,medium,programming,testing,Product based,yes,Technical,smart worker,no,yes,Applications Developer
9,1,8,1,no,yes,shell programming,medium,poor,Management,cloud computing,Web Services,yes,Management,smart worker,yes,yes,Applications Developer
9,1,5,6,no,yes,information security,excellent,excellent,Management,security,Testing and Maintainance Services,yes,Technical,hard worker,no,yes,Applications Developer
3,5,2,1,no,no,python,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Technical,hard worker,yes,yes,Applications Developer
7,4,8,5,yes,no,full stack,medium,poor,cloud computing domain,cloud computing,Finance,yes,Technical,hard worker,no,no,Applications Developer
1,3,8,5,no,no,hadoop,poor,medium,data engineering,developer,Sales and Marketing,yes,Management,smart worker,yes,yes,Applications Developer
7,2,8,5,no,yes,shell programming,poor,poor,programming,system developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
2,2,8,1,no,no,shell programming,poor,poor,Management,Business process analyst,SAaS services,yes,Management,hard worker,yes,no,Applications Developer
1,1,2,6,no,no,distro making,medium,poor,Management,system developer,SAaS services,yes,Technical,smart worker,yes,no,Applications Developer
1,6,3,6,no,no,python,excellent,medium,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Management,hard worker,yes,yes,Applications Developer
2,6,7,1,yes,yes,machine learning,medium,medium,hacking,testing,Finance,no,Technical,hard worker,no,yes,Applications Developer
1,4,5,4,yes,no,distro making,medium,poor,Computer Architecture,system developer,Product based,no,Technical,hard worker,no,no,Applications Developer
1,6,4,2,yes,no,python,medium,excellent,cloud computing domain,Business process analyst,Product based,yes,Management,smart worker,yes,yes,Applications Developer
6,4,9,7,yes,yes,hadoop,excellent,medium,cloud computing domain,Business process analyst,Product based,no,Management,hard worker,no,yes,Applications Developer
8,1,9,7,yes,yes,information security,medium,medium,networks,developer,Cloud Services,yes,Technical,smart worker,no,yes,Applications Developer
7,2,1,8,no,yes,machine learning,poor,excellent,Software Engineering,security,Web Services,yes,Management,hard worker,yes,yes,Applications Developer
3,4,5,5,yes,yes,r programming,excellent,poor,Software Engineering,security,Sales and Marketing,no,Management,hard worker,no,no,Applications Developer
3,4,3,3,yes,no,information security,poor,medium,programming,developer,Service Based,no,Management,smart worker,yes,no,Applications Developer
3,4,2,3,yes,no,python,poor,poor,Management,system developer,Sales and Marketing,yes,Technical,smart worker,yes,yes,Applications Developer
1,1,9,1,no,yes,distro making,excellent,excellent,Computer Architecture,developer,Sales and Marketing,yes,Management,smart worker,no,no,Applications Developer
7,1,9,4,no,no,r programming,poor,excellent,cloud computing domain,security,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,Applications Developer
8,2,1,8,no,yes,hadoop,medium,medium,Software Engineering,developer,SAaS services,no,Management,hard worker,yes,no,Applications Developer
7,4,9,3,yes,yes,python,poor,poor,parallel computing,cloud computing,Web Services,no,Technical,hard worker,no,yes,Applications Developer
5,2,1,7,no,no,full stack,excellent,excellent,cloud computing domain,security,BPA,yes,Technical,hard worker,no,yes,Applications Developer
1,1,7,4,no,no,python,poor,medium,hacking,developer,SAaS services,no,Technical,hard worker,yes,no,Applications Developer
